x,(1/x)*x^3
1,1.479251083
2,3.019446734
3,9.450276281
4,14.6804982
5,41.9896211
6,50.27009261
7,63.31607748
8,108.3745834
9,86.38323646
10,100.2598911
11,205.2326507
12,178.2071638
13,298.8218952
14,290.4734283
15,399.8683653
16,370.4154104
17,410.6136377
18,591.0636964
19,452.6242502
20,559.8096442
21,779.4225158
22,927.0549037
23,798.3073436
24,867.6649505
25,679.0359539
26,871.9561359
27,1021.841521
28,1326.096917
29,1634.035994
30,1378.856175
31,1557.732479
32,1894.424073
33,1476.888123
34,2225.502314
35,2275.877607
36,1826.606156
37,1351.06222
38,1686.627642
39,2679.220724
40,2291.324957
41,2859.283888
42,2824.842257
43,2591.447272
44,3277.522619
45,3656.116053
46,3532.111967
47,2564.298636
48,2945.482597
49,2931.824296
50,2637.740324
51,2701.597233
52,3305.875246
53,4270.19918
54,4515.700298
55,5956.036657
56,5358.386786
57,5034.6704
58,5554.483563
59,4490.409786
60,6544.166826
61,5311.908996
62,4822.420076
63,5029.147967
